Nr,Features,User story,Accetance Criteria,activities and tests,Expected results,UI status (done or not done),Implementation status ( done or not done),result ( fail or pass),Fail comments,,,,
1,verify bvn,"As a user, I want to enter my BVN and date of birth so that I can proceed with identity verification.","Given the user has a valid BVN and date of birth, When they input the details correctly, Then the system should proceed to the next identity verification step.","1. Navigate to the BVN verification screen.
2. Check if the BVN input field is displayed.
3. Enter a valid BVN.
4. Check if the Date of Birth (DoB) field is displayed.
5. Select a valid date from the calendar.
6. Verify if the Proceed button is enabled and clickable.","BVN field is displayed and can be filled.
DoB should be displayed and date should be selectable.
Proceed Button should be functional.",Done,Done,PASS,,,,,
2,send otp for bvn,"As a user, I want to receive an OTP on the phone number linked to my BVN so that I can confirm my identity.","Given the user has entered a valid BVN, When the system identifies the linked phone number, Then an OTP should be sent for verification.","1. Submit valid BVN and DoB.
2. Wait for the OTP prompt.
3. Confirm OTP is received on the registered phone number.",OTP should be sent to the Phone number attached to the BVN and received by user. ,Done,Done,PASS,,,,PASS,30
3,verify nin,"As a user, I want to submit my NIN  so that I can complete biometric identity verification.","Given the user has a valid NIN, When they submit it through the app, Then the system should verify and update their biometric status.","1. After login, to NIN and Face Verification screen displays.
2. Verify NIN input field is displayed.
3. Enter a valid NIN.
",NIN field should be available and fillable.,Done,Done,PASS,Submitted and approved through admin ,,,FAIL,10
4,verify facial recognition,"As a user, I want to capture my facial image so that I can complete biometric identity verification.","Given the user has completed NIN submission, When they capture and submit a facial image, Then the system should verify the biometric data.","4. Use device camera to capture a clear face image in a well-lit room.
5. Submit image and confirm successful facial recognition.",User should be able to capture and image. Facial recog should be successful if room is well lit and image is clear.,Done,Done,PASS,Submitted and approved through admin ,,,Others,17
5,create password,"As a user, I want to confirm my password during registration so that I can ensure my credentials are correctly set.","Given the user is on the registration form, When they enter and confirm a password, Then the system should validate both fields match before proceeding.","1. On the registration form, locate the password and confirm password fields.
2. Enter mismatched passwords and verify validation message appears.
3. Enter matching passwords and submit form.
4. Confirm account registration is successful.","Password field and confirmation field is displayed. When mismatched password is filled, validation msg should appear. Otherwise, password is confirmed and account registration is successful",Done,Done,PASS,,,,Others,23
6,verify password,"As a user, I want to log in after registering so that I can verify and access my personal dashboard.","Given the user has completed registration, When they input correct login credentials, Then they should be granted access to the dashboard.","1. Enter registered email and password.
2. Click login button.
3. Verify that the user dashboard opens displaying account info.","When user user logs in after successful registration, user account dashboard opens.",Done,Done,PASS,,,,,
7,create business account,"As a business user, I want to fill and submit business details so that I can create a business account.",,"1. Navigate to business account setup.
2. Check if business detail fields are displayed.
3. Fill in valid business details.
4. Submit and confirm success message or redirection.","Business account details field are displayed, fillable and submitted successfully. Account is created",Done,Done,,business account done  - meaning only non cac account registration ,,,,
8,create personal account,"As a personal user, I want to provide my personal details so that I can complete account registration and log in.","Given I am on the registration page,
When I input my full name, email, phone number, address, and date of birth,
Then the system should accept and save my personal details.","1. After BVN verification personal account reg form is displayed
2. Check if autopopulated personal detail fields e.g name, phone number, email add are displayed.
3. Fill in other valid personal details and password.
4. Submit and verify account creation.
5. Confirm redirection to login page.","Personal account details field are displayed, fillable and submitted successfully. Account is created. Reg successful. login page opens",Done,Done,PASS,,,,,
9,create pin,"As a user, I want to create and confirm a PIN so that I can secure my transactions.","Given I have completed registration,
When I input a 4-digit PIN and confirm it,
Then the system should save the PIN and display a success message","1. Upon login, create PIN opens
2. PIN and confirm PIN fields are displayed.
3. Enter matching PIN values.
4. Submit 
5. OTP is received as SMS and entered
6. Confirm success message.","PIN creation is confirmed with OTP.
PIN is created successfully.",Done,Done,PASS,,,,,
10," referral , support code","As a registered user,
I want to update my personal profile
so that my account information stays current and I can benefit from referral programs and customer support.","Given I am logged into my account,
When I navigate to the profile settings and update my personal information,
Then the system should save the new details and reflect them immediately.",,,Not done,Not done,PASS,no support code,,,,
11," referral , support code",,,,,Done,Done,,,,,,
12,upgrade kyc business,,,,,,,,,,,,
13,upgrade kyc personal,"As a personal user, I want to upgrade my KYC level so that I can access higher transaction limits and more financial services.","Given I am logged in,
When I submit the required personal KYC documents (e.g., NIN, proof of address, selfie/face liveness),
Then the system should verify them and upgrade my KYC level","1. Login to the app.
2. Navigate to Profile / KYC Upgrade.
3. Select Upgrade KYC (Personal).
4. Upload/submit required documents (NIN, proof of address, selfie/facial capture).
5. Submit application.
6. Wait for verification (system or admin).","System validates documents and upgrades KYC level.
User receives confirmation notification/email.
KYC status changes (e.g., from Tier 1 ? Tier 2/3 depending on documents submitted).
User can access new limits/features linked to upgraded KYC",,,PASS,,,,,
14,verify nin manual for admin approval,"As a user, I want to see the verification status after submitting my NIN so that I can confirm my identity process.","Given I have submitted my NIN, When I check the verification page, Then I should see the status as pending, approved, or rejected.","1. Enter valid NIN and submit.
2. Verify the system displays verification status.",nin is successfully submitted and status of verification is displayed,,Done,PASS,Submitted and approved through admin approval,,,,
15,verify face manually for admin approval,"As a user, I want to see the result of my facial image submission so that I know my biometric verification is complete.","Given I have submitted my facial image, When verification is complete, Then I should see the result and status.","1. Capture face image in well-lit room.
2. Submit image.
3. Confirm that verification status is shown.",face image in a well litted env is successfully submitted and status of verification is displayed,,Done,PASS,Submitted and approved through admin approval,,,,
16,verify proof of address for admin approval,"As a user submitting my KYC documents,
I want to upload my proof of address for verification,
so that an admin can review and approve it to upgrade my KYC status.","Given I have logged in, When I upload my proof of address, Then I should see a confirmation and the document should be sent for review.","1. Login to the app.
2. Navigate to Profile / KYC Upgrade.
3. Select Upgrade KYC .
4. Upload/submit proof of address documents
5. Submit application.
6. Wait for verification by admin.",Interface to upload and submit proof of address should be available and functional. submission successful modal should be displayed and status of approval should be displayed.,,,PASS,,,,,
17,"verify pictures, CAC documents for admin approval ",,,,,,,,,,,,
18,upgrade kyc from 1 to 2,"As a user, I want my KYC level to upgrade to Tier 2 after submitting NIN and performing facial recognition so that I can access more services.","Given I have completed NIN and facial verification, When verification is successful, Then my KYC level should show as Tier 2.","1. Complete account registration.
2. Check initial KYC level is tier 1.
3. Submit valid NIN and perform facial liveness.
4. Confirm KYC is upgraded to tier 2.","Upon account creation KYC level should be on tier 1. When user submit NIN and performs  face liveness, kyc level should be upgraded to tier 2 when approved",Done,Done,PASS,,,,,
19,upgrade kyc from 2 to 3,"As a user, I want my KYC level to upgrade to Tier 3 upon advanced verification so that I can access higher financial limits.","Given I have submitted tier 3 verification doc, When verification is successful, Then my KYC level should show as Tier 3.","1. Submit proof of add.
2. Verify that KYC level is upgraded to tier 3.","When user submit  proof of add face , kyc level should be upgraded to tier 3 when approved",Done,Done,PASS,,,,,
20,upgrade kyc from 3 to 4,"As a user, I want to achieve Tier 4 KYC level by providing complete biometric data so that I can access premium services.",,,,,,,,,,,
21,login,"As a user, I want to log in using my phone number and password so that I can see my dashboard, personal info and perform other transaction and activities.","Given I have registered, When I input valid email and password in the login page, Then I should be logged in and redirected to the dashboard.","1. Enter phone number and password on login screen.
2. Click login.
3. Confirm user dashboard opens and displays name.",phone number and password should be filled. User dashboard opens displaying User full name with account overview; acc number and acc balance.,Done,Done,PASS,"Login email Notification: device IP address and model was not stated.
New login detected on your WayaBank account

Dear KHADIJAT MUHAMMAD,

We detected a new login to your WayaBank account. This is a security notification to keep you informed about account activity.

Login Details
Login Time: 2025-09-22T10:38:42.968202044
Device: ??
IP Address: string
Account: ",,,,
22,set transaction limit for onetime,"As a user,
I want to set a one-time transaction limit,
so that I can control the maximum amount that can be transferred in a single transaction for security and budgeting purposes.","Given I am logged in, When I set a one-time transaction limit, Then the limit should be saved and enforced during transfers.","1. Login to the app
2. Navigate to Transaction Settings
3. Select Set One-Time Limit
4. Enter an amount (e.g., 50,000)
5. Save changes
6. Attempt a transfer below the limit
7. Attempt a transfer above the limit
","One-time limit is saved.
Transfer below limit is successful.
Transfer above limit is blocked with an error message (e.g., “Transaction exceeds one-time limit”).",,Not done,,,,,,
23,set transaction limit for the day,,"Given I am logged in, When I set a daily limit, Then it should apply to all daily transfers.","1. Login to the app
2. Navigate to Transaction Settings
3. Select Set Daily Limit
4. Enter an amount (e.g., 200,000)
5. Save changes
6. Perform multiple transfers within the limit
7. Attempt transfers that cumulatively exceed the daily limit
","Daily limit is saved.
Transfers within the daily limit are successful.
Once total transfers exceed the daily limit, further transfers are blocked with an error message (e.g., “Daily limit reached”).",,Not done,,,,,,
24,Reset password -otp to phone number,"As a user, I want to change my password using OTP so that my account is secured and I can log in with a new password.","Given I have access to my account, When I request to change password and verify with OTP, Then I should be able to set a new password.","1. Navigate to Seettings> Manage Password and PIN > Reset password.
2. Select account type > Click reset password. 
3. Receive OTP on phone. Enter OTP
4. Submit and verify account logs out.
5. Login with new password.",old and new password  field is displayed and filled. OTP is sent to the phone number and account is logged out to be logged in again with the new password,Done,Done,PASS,,,,,
25,change pin - otp to phone number,"As a user, I want to change my PIN using OTP so that I can continue secure transactions with an updated PIN.","Given I am logged in, When I initiate PIN change and verify OTP, Then the new PIN should be saved.","1. Navigate to Settings> Manage Password and PIN > Go to change PIN.
2. Enter old and new PIN.
3. Receive OTP.
4. Submit and confirm logout.
5. Re-login with new PIN.",old and new pin field is displayed and filled. OTP is sent to the phone number and account is logged out to be logged in again with the new password,,,PASS,,,,,
26,forget password - otp to phone number,"As a user, I want to reset my password using an OTP sent to my email so that I can regain access to my account securely.","Given I forgot my password, When I request a reset and verify with OTP, Then I should be able to set a new password.","1. Navidate to Login Page > initiate forgot password.
2. Receive OTP on email.
3. Enter OTP and proceed.
4. Enter new password and confirm.
5. Submit and login using new password.",OTP is sent to the email. OTP is verfied and new password should be entered. field to reset password is displayed. new password is entered and successful. User should be able to login with the new password.,Done,Done,PASS,,,,,
27,Reset PIN - otp to phone number ,"As a user, I want to reset my PIN using an OTP sent to my email so that I can regain access to my account securely.","Given I request a PIN reset, When I enter the OTP received via email, Then I should be able to create and confirm a new PIN.","1. Navigate to Settings> Manage Password and PIN > Reset PIN.Go to change PIN.
2. Receive OTP.
3. Enter PIN and Confirm new PIN.
4. Submit and confirm successful PIN change.",OTP should be sent to phone number. New pin should be entered and successful,Done,Done,PASS,,,,,
