Module,Feature,User Story,Acceptance Criteria / Expected Behaviour,Data Elements for Listing / Form,Engineer ,Engineer timeline due date,business timeline Due date,Validator,Result - fail or pass,fail comments,QA RETESTING RESULT,PM Validation,DEMO VALIDATION
Admin Profile,View Profile,"As an admin, I want to view my profile so that I can see my account details.","System displays admin profile details such as name, email, phone number, role, branch, account status (active, inactive).",,Kelvin,,19th March,Kelvin,,,,,
Admin Profile,Change Password,"As an admin, I want to change my password so that I can secure my account.","Admin enters old password, new password, and confirm new password. System sends OTP to email for verification. After OTP confirmation, password is successfully updated.",,Kelvin,,19th March,Kelvin,,,,,
,,,,,,,,,,,,,
Dashboard,View System Analytics,"As an admin, I want to view system analytics on the dashboard so that I can quickly understand platform performance.",Dashboard loads successfully and displays analytics widgets.,,Kelivin,,20h March,Kelvin,,,,,
Dashboard,View Transaction Volume,"As an admin, I want to see the total transaction volume so that I can monitor transaction activity.",System displays the total number of transactions processed.,,Kelivin,,20h March,Kelvin,,,,,
Dashboard,View Total Customers,"As an admin, I want to see the total number of customers so that I can monitor user growth.",System displays total registered customers.,,Kelivin,,20h March,Kelvin,,,,,
Dashboard,View Transaction Trend Chart,"As an admin, I want to see transaction trends over time so that I can analyze system performance.",System displays a line chart showing transaction trends by time period.,,Kelivin,,20h March,Kelvin,,Nno endpoint to fetch trends.,,,
Dashboard,Dashboard Data Refresh,"As an admin, I want the dashboard data to refresh automatically so that the analytics reflect current data.",Dashboard refreshes data periodically or when the page reloads.,,Kelivin,,20h March,Kelvin,,,,,
Dashboard,User Sign-up View,"As an admin, I want to view user sign-up statistics by user type so that I can monitor platform growth.",The system displays user sign-up numbers categorized by user type with filter option.,,Kelivin,,20h March,Kelvin,,,,,
Dashboard,Bank Account View,"As an admin, I want to view bank accounts by user type so that I can track account distribution.","System displays bank accounts categorized by user type with filter, search, and export options.",,Kelivin,,20h March,Kelvin,,,,,
Dashboard,Transaction Performance View,"As an admin, I want to view transaction performance across products so that I can analyze financial activity.","System displays total transactions and transactions per product, with filter, search, and export capability.",,Kelivin,,20h March,Kelvin,,,,,
Dashboard,Dashboard Filters,"As an admin, I want to filter dashboard analytics so that I can view specific data ranges or categories.","System provides filters such as date range, product type, and user type.",,Kelivin,,20h March,Kelvin,,,,,
Dashboard,Dashboard Search,"As an admin, I want to search dashboard data so that I can quickly locate specific records.",Search bar returns matching records within the selected dashboard view.,,Kelivin,,20h March,Kelvin,,,,,
Dashboard,Dashboard Export,"As an admin, I want to export dashboard analytics so that I can generate reports for management.",System allows exporting dashboard data in Excel/CSV format.,,Kelivin,,20h March,Kelvin,,"The dashboard does not provide any option to export analytics data (Excel/CSV), even though this is part of the expected functionality. There is no visible Export button, dropdown, or download option on the dashboard interface.",,,
,,,,,,,,,,,,,
Admin Account Management,View Admin Accounts,"As a super admin, I want to view all admin accounts so that I can manage administrators on the platform.","System displays a list of all admin accounts with details such as first name, last name, email, phone number, role, and status.",,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Search Admin Accounts,"As a super admin, I want to search admin accounts so that I can quickly find a specific admin.","System allows searching by phone number, email, first name, or last name.",,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Filter Admin Accounts,"As a super admin, I want to filter admin accounts so that I can view admins by status or role.","System provides filters such as active, inactive, role type, and access type.",,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Export Admin Accounts,"As a super admin, I want to export the list of admin accounts so that I can generate reports.",System allows exporting admin account data in Excel or CSV format.,,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,View Admin Details,"As a super admin, I want to click on an admin account to see more details so that I can review full information.",Clicking an admin record opens a detailed profile page showing full admin information.,,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Edit Admin Account,"As a super admin, I want to edit an admin account so that I can update their information.","Admin details such as name, phone, role, permissions, or access type can be modified.",,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Delete Admin Account,"As a super admin, I want to delete an admin account so that I can remove administrators who no longer require access.",System allows deletion of selected admin account after confirmation.,,Kelivin,,20h March,Kelvin,,"Unable to delete an admin account . an error popup appears ""An unexpected error occurred"".  Delete request returning 500 Internal Server error.",,,
Admin Account Management,Activate / Deactivate Admin,"As a super admin, I want to activate or deactivate admin accounts so that I can control their access to the system.",System allows toggling active or inactive status for each admin account.,,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Create Admin Account,"As a super admin, I want to create a new admin account so that I can add new administrators to the system.","Admin enters first name, last name, email address, and phone number.",,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Assign Role,"As a super admin, I want to assign a role to a new admin so that access permissions are properly defined.",System provides a dropdown list of available roles for selection.,,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Assign Permissions,"As a super admin, I want to assign permissions to an admin so that I can control what they can access.",System displays a list of permissions that can be selected during admin creation or editing.,,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Assign Access Type,"As a super admin, I want to define access type so that the admin’s workflow responsibility is clear.",Admin can be assigned Reviewer (Maker) or Approver (Checker) access type.,,Kelivin,,20h March,Kelvin,,,,,
Admin Account Management,Submit Admin Creation,"As a super admin, I want to submit the admin account creation form so that the admin receives access to the system.",System validates input fields and sends an invitation email after successful creation.,,Kelivin,,20h March,Kelvin,,"An error occurs when attempting to submit create a new admin user with assigned roles. The system displays a vague error message “Wrong”, while the network response shows a 500 Internal Server Error.",,,
Admin Account Management,Owner Privileges,"As the system owner, I want full administrative control so that I can manage all admin functions.","Owner can create admins, assign super admin roles, manage roles and permissions, activate/deactivate admins, and perform all admin management actions.",,Kelivin,,20h March,Kelvin,,,,,
,,,,,,,,,,,,,
Customer Management,View Customers,"As an admin, I want to view all customers so that I can manage platform users.","System displays customers categorized as Individual, Registered Corporate, and Non-Registered Corporate.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Filter Customers by Type,"As an admin, I want to filter customers by type so that I can easily manage specific customer categories.","System allows filtering by Individual, Registered Corporate, and Non-Registered Corporate.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Search Customers,"As an admin, I want to search for customers so that I can quickly locate a specific user.","System allows search by phone number, email, first name, and last name.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Export Customer Data,"As an admin, I want to export customer data so that I can generate reports.",System allows exporting customer records in Excel or CSV format.,,Kelvin ,,24th March,Kelvin,,"Searching for customers using BVN fails. The system returns “Nothing Found” on the UI, while the network response shows a 400 Bad Request error with a backend failure message.",,,
Customer Management,View Customer Details,"As an admin, I want to click on a customer to see more details so that I can review their full profile.",Clicking a customer opens an expanded customer profile view.,,Kelvin ,,24th March,Kelvin,,,,,
