,Module,Feature,User Story,Acceptance Criteria / Expected Behaviour,Data Elements for Listing / Form,Status,Comment
,In-App Notification,Registration Successful,"As a user, I want to receive a notification when my account registration is successful so that I know my account has been created.",System sends in-app notification immediately after successful registration. Notification appears in notification center.,"Notification Title, Message, Date",,
,In-App Notification,Login Successful,"As a user, I want to receive a notification when I log into my account so that I can confirm successful access to my account.",System sends notification after successful login attempt.,"Notification Title, Message, Timestamp",,
,In-App Notification,Credit Transaction Alert,"As a user, I want to receive a notification when money is credited to my account so that I can track incoming funds.",System sends notification after successful credit transaction.,"Transaction Type, Amount, Reference ID, Date",,
,In-App Notification,Debit Transaction Alert,"As a user, I want to receive a notification when money is debited from my account so that I can track my spending.",System sends notification after successful debit transaction.,"Transaction Type, Amount, Reference ID, Date",,
,In-App Notification,Airtime Purchase Notification,"As a user, I want to receive a notification when I successfully purchase airtime so that I can confirm the transaction.",System sends notification after successful airtime purchase.,"Amount, Network, Transaction ID, Date",,
,In-App Notification,Data Purchase Notification,"As a user, I want to receive a notification when I successfully purchase data so that I can confirm the transaction.",System sends notification after successful data purchase.,"Amount, Network, Data Plan, Transaction ID",,
,In-App Notification,Cable TV Payment Notification,"As a user, I want to receive a notification when I successfully pay for cable TV so that I can confirm subscription payment.",System sends notification after successful cable TV payment.,"Provider, Amount, Smart Card Number, Date",,
,In-App Notification,Electricity Bill Payment Notification,"As a user, I want to receive a notification when I successfully pay an electricity bill so that I can confirm the transaction.",System sends notification after successful electricity payment.,"Provider, Amount, Meter Number, Token",,
,In-App Notification,E-Pin Purchase Notification,"As a user, I want to receive a notification when I successfully purchase an e-pin so that I can confirm the purchase.",System sends notification after successful e-pin purchase.,"Amount, Provider, Transaction ID",,
,In-App Notification,Betting Payment Notification,"As a user, I want to receive a notification when I successfully fund a betting wallet so that I can confirm the transaction.",System sends notification after successful betting payment.,"Amount, Betting Provider, Transaction ID",,
,In-App Notification,KYC Tier 2 – NIN Submission,"As a user, I want to receive a notification when my NIN is submitted so that I know my Tier 2 upgrade request is pending.",System sends notification after NIN submission indicating Pending Admin Approval.,"NIN Status, Submission Date",,
,In-App Notification,KYC Tier 2 – NIN Approval,"As a user, I want to receive a notification when my NIN verification is approved so that I know my account has been upgraded to Tier 2.",System sends notification after admin approves NIN verification.,"Tier Level, Approval Date",,
,In-App Notification,KYC Tier 3 – Utility Bill Submission,"As a user, I want to receive a notification when I submit a utility bill so that I know my Tier 3 request is being processed.",System sends notification confirming successful submission.,"Utility Type, Submission Date",,
,In-App Notification,KYC Tier 3 – Utility Approval,"As a user, I want to receive a notification when my utility bill is approved so that I know my account has been upgraded to Tier 3.",System sends notification after admin approval.,"Tier Level, Approval Date",,
,In-App Notification,Card Request Notification,"As a user, I want to receive a notification after requesting a card so that I know the request was submitted successfully.",System sends notification after card request submission.,"Card Type, Request Date",,
,In-App Notification,Card Approval Notification,"As a user, I want to receive a notification when my card request is approved so that I know the card is ready for activation.",System sends notification after card approval.,"Card Type, Approval Date",,
,In-App Notification,POS Request Notification,"As a user, I want to receive a notification after submitting a POS request so that I know my request has been received.",System sends notification after POS request submission.,"Merchant ID, Request Date",,
,In-App Notification,POS Approval Notification,"As a user, I want to receive a notification when my POS request is approved so that I know a terminal will be assigned.",System sends notification after admin approval.,"Terminal ID, Approval Date",,
,In-App Notification,PIN Change Notification,"As a user, I want to receive a notification when my transaction PIN is changed so that I am aware of the security update.",System sends notification immediately after successful PIN change.,"User ID, Timestamp",,
,In-App Notification,Password Change Notification,"As a user, I want to receive a notification when my password is changed so that I can detect unauthorized changes.",System sends notification immediately after successful password change.,"User ID, Timestamp",,
,In-App Notification,Card Activation Notification,"As a user, I want to receive a notification when my card is activated so that I know the card is ready for use.",System sends notification after successful card activation.,"Card Type, Activation Date",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Push Notification,Registration Successful,"As a user, I want to receive a push notification after successfully registering so that I know my account has been created.",System sends push notification immediately after successful registration.,"Notification Title, Message, Timestamp",,
,Push Notification,Login Successful,"As a user, I want to receive a push notification when I successfully log in so that I am aware of account access.",System sends push notification after successful login attempt.,"Notification Title, Message, Login Time",,
,Push Notification,Credit Transaction Alert,"As a user, I want to receive a push notification when my account is credited so that I am instantly aware of incoming funds.",System triggers push notification immediately after a successful credit transaction.,"Amount, Transaction Reference, Date",,
,Push Notification,Debit Transaction Alert,"As a user, I want to receive a push notification when my account is debited so that I can monitor my spending.",System sends push notification immediately after a successful debit transaction.,"Amount, Transaction Reference, Date",,
,Push Notification,Airtime Purchase Notification,"As a user, I want to receive a push notification when airtime purchase is successful so that I can confirm the purchase.",System sends push notification after successful airtime purchase.,"Amount, Network, Transaction ID",,
,Push Notification,Data Purchase Notification,"As a user, I want to receive a push notification when data purchase is successful so that I can confirm the transaction.",System sends push notification after successful data purchase.,"Amount, Network Provider, Data Plan",,
,Push Notification,Cable TV Payment Notification,"As a user, I want to receive a push notification when cable TV payment is successful so that I can confirm subscription renewal.",System sends push notification after successful cable payment.,"Provider, Amount, Smartcard Number",,
,Push Notification,Electricity Payment Notification,"As a user, I want to receive a push notification when electricity payment is successful so that I can confirm the transaction.",System sends push notification after successful electricity payment.,"Provider, Amount, Meter Number, Token",,
,Push Notification,E-Pin Purchase Notification,"As a user, I want to receive a push notification after purchasing an e-pin so that I can confirm the purchase.",System sends push notification after successful e-pin purchase.,"Provider, Amount, Transaction ID",,
,Push Notification,Betting Wallet Funding Notification,"As a user, I want to receive a push notification when my betting wallet is funded so that I can confirm the payment.",System sends push notification after successful betting wallet funding.,"Provider, Amount, Transaction ID",,
,Push Notification,NIN Submission Notification (Tier 2),"As a user, I want to receive a push notification when my NIN is submitted so that I know my Tier 2 request is pending approval.",System sends notification indicating NIN verification pending admin approval.,"NIN Status, Submission Date",,
,Push Notification,NIN Approval Notification (Tier 2),"As a user, I want to receive a push notification when my NIN verification is approved so that I know my account is upgraded.",System sends push notification after NIN approval.,"Tier Level, Approval Date",,
,Push Notification,Utility Bill Submission Notification (Tier 3),"As a user, I want to receive a push notification after submitting a utility bill so that I know my Tier 3 request is under review.",System sends push notification confirming submission.,"Utility Type, Submission Date",,
,Push Notification,Utility Bill Approval Notification (Tier 3),"As a user, I want to receive a push notification when my utility bill verification is approved so that my account upgrade is confirmed.",System sends push notification after approval.,"Tier Level, Approval Date",,
,Push Notification,Card Request Notification,"As a user, I want to receive a push notification when I request a card so that I know my request has been submitted.",System sends push notification after card request submission.,"Card Type, Request Date",,
,Push Notification,Card Approval Notification,"As a user, I want to receive a push notification when my card request is approved so that I know the card is ready for activation.",System sends push notification after card approval.,"Card Type, Approval Date",,
,Push Notification,POS Request Notification,"As a user, I want to receive a push notification when I submit a POS request so that I know the request has been received.",System sends push notification after POS request submission.,"Merchant ID, Request Date",,
,Push Notification,POS Approval Notification,"As a user, I want to receive a push notification when my POS request is approved so that I know a terminal will be issued.",System sends push notification after admin approval.,"Terminal ID, Approval Date",,
,Push Notification,PIN Change Notification,"As a user, I want to receive a push notification when my transaction PIN changes so that I am aware of the security update.",System sends push notification immediately after successful PIN change.,"Timestamp, User ID",,
,Push Notification,Password Change Notification,"As a user, I want to receive a push notification when my password changes so that I can detect unauthorized activity.",System sends push notification immediately after password change.,"Timestamp, User ID",,
